id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,4.56140659098e-13,1.17756404627e-09,1.85531223631e-13,1.89812663365e-08,6.13818718076e-12,6.56578391656e-09,2.35969976198e-11,2.39804408969e-11,6.5716494746e-12,6.64624622004e-09,1.24358962239e-07,1.13396739102e-13,2.47484366334e-09,8.84603935242e-12,1.84600768005e-09,1.14343046143e-09,4.40422393e-10,1.33647789016e-11,2.06934192004e-11,1.89021524127e-11,2.98960722844e-09,3.75885349513e-08,9.62935153836e-09,1.68345851148e-10,8.74370942403e-13,1.04106246193e-11,9.76487370963e-08,4.75545069989e-09,9.43664330705e-12,1.2217790335e-08,2.43013573674e-12,7.22723370927e-07,4.22694455438e-07,1.20428795825e-08,1.39367175578e-08,7.01082247812e-11,7.06593394906e-10,1.39907087651e-11,6.68731181541e-11,1.60521873571e-10,5.43987554655e-12,9.21672160814e-09,1.19046078551e-10,2.9254200516e-13,2.0574996995e-07,9.80000258721e-09,1.94122894754e-05,1.85190303034e-14,3.8211846339e-13,5.99578709164e-13,7.57746789759e-08,0.999685764313,4.19983964273e-10,1.26224426467e-08,1.26277333035e-09,7.71130316934e-07,7.94932816461e-07,2.35363486513e-12,1.38944949296e-11,2.13909601143e-09,1.72610106763e-10,1.66527659717e-11,1.50978596292e-09,1.40422526038e-11,0.000193256302737,2.06012762405e-10,1.07953679329e-09,2.19447222438e-13,8.14887601841e-11,2.97991457898e-11,6.31731750245e-11,8.98270065101e-13,5.62196023068e-09,1.73432991059e-12,5.07620497956e-05,1.87799457763e-06,1.4326517403e-13,5.95307847462e-09,3.57813087248e-06,3.18244786968e-07,1.67358904513e-09,1.87658157243e-12,1.73853691859e-11,4.03119083785e-05,5.03867624957e-07,1.46762311505e-12,2.79847781233e-12,3.97742385902e-12,4.36382237012e-07,2.83167066184e-12,8.06359146122e-11,1.31429178651e-09,3.50309198316e-10,8.0790979462e-10,3.16190025551e-11,7.61511554227e-14,7.4466821598e-12,3.2561283092e-07,3.16581066917e-11
7,1.76907152122e-11,2.46199088894e-10,6.25677429866e-08,1.76302208388e-07,1.12185096282e-11,6.41110775579e-10,2.11262630501e-07,3.4154051809e-10,1.84937620773e-11,6.68081701072e-10,2.52293607013e-12,1.74562534566e-11,6.13960271512e-10,1.54158641408e-09,1.02450381512e-09,2.41866721096e-10,1.39403610877e-09,8.22752355134e-09,1.54237755901e-09,1.62695632753e-05,2.27444061848e-12,4.33685309886e-11,1.56415463914e-10,1.02481592656e-10,2.38840613953e-10,6.24154070442e-12,1.05777232307e-07,1.07793516335e-08,1.5377569218e-09,2.92063734308e-10,2.39043664862e-08,1.08155873146e-10,5.82466797017e-10,2.75542592215e-11,1.48592702587e-08,1.03693321291e-11,2.47645772333e-07,2.70770433852e-10,1.09482513722e-07,2.65519884124e-06,1.41214300697e-07,3.83190368325e-08,4.18419894288e-08,1.1100905084e-08,7.75266240094e-10,8.98845371466e-08,3.69760049402e-13,7.19809122529e-06,5.78418664077e-08,4.5281188521e-11,0.999947667122,9.93029036778e-09,3.07723468929e-09,1.55513379951e-08,1.56048418631e-09,4.11328556993e-07,7.70411112683e-09,1.20130856374e-08,5.87852211353e-09,5.12671505248e-08,2.24309868457e-08,1.45770704535e-11,8.03396325161e-12,2.67563415868e-09,9.74620176231e-11,9.23207829628e-11,1.2413763073e-10,4.61291449483e-10,1.37004425582e-08,9.39562141866e-06,1.25189719702e-11,2.9767313614e-10,9.14167977428e-11,3.94673946302e-11,5.4140244371e-11,1.13815668001e-09,2.40180975197e-06,1.46873944118e-07,3.84795617592e-09,5.33464716845e-10,1.25939774165e-08,9.88527149026e-10,5.48650973542e-08,1.07822006612e-06,9.39568423064e-08,1.4917812905e-06,1.6746575966e-06,7.56538565838e-06,1.28361969491e-12,1.42269729331e-09,8.36898816914e-09,8.6800323873e-11,3.23709288541e-12,4.67571467655e-12,1.55508921296e-08,5.09673405702e-08,2.67027616019e-07,1.14147333363e-07,2.51473210255e-07
9,4.95553109658e-08,0.996923148632,6.50251186229e-09,5.8750004861e-09,0.000834561418742,4.12006812667e-07,1.29548958228e-08,2.09430254472e-07,1.24603075164e-05,3.60352419193e-06,1.06662540134e-07,0.00010355401173,7.8057080799e-09,8.87944118233e-09,3.05637627207e-06,1.29578303643e-09,0.00205231131986,8.6968994506e-11,6.00851646215e-10,2.29675606533e-06,7.04646865302e-08,4.02229183294e-08,2.79959454057e-12,2.17882257375e-11,2.49408080993e-11,1.61918745079e-08,1.53837718244e-05,2.87645580098e-12,2.92886492836e-10,1.12822262643e-09,4.27669150094e-10,8.21444743337e-08,3.20950948662e-06,2.83376677679e-09,7.99230057136e-11,4.51596491757e-07,1.05648191584e-10,1.19351950545e-09,6.72258429479e-11,2.26822649552e-09,2.75804215022e-08,2.89156275812e-07,1.15888854069e-08,1.66167446469e-09,3.19127906323e-08,2.66015764971e-10,9.849094873e-10,7.10867240628e-08,3.13792796192e-08,1.08454232262e-08,1.96987626211e-09,2.57435850415e-09,2.06071670145e-11,7.08422098761e-10,5.15684783764e-09,4.75583461501e-12,3.96897554822e-08,8.05381733526e-11,4.17767383187e-12,8.11592071326e-10,7.8049300356e-10,7.2059447298e-10,2.24589335844e-12,8.59643467521e-10,1.49239394176e-08,5.25109022931e-09,1.60711011166e-09,3.53410139695e-12,8.03292654616e-10,9.29095633762e-10,1.56045010247e-10,1.88379409849e-08,2.78920941899e-10,2.69864717239e-08,1.26867826111e-06,5.20144860516e-09,2.23481406991e-11,1.13641873689e-09,2.44430225393e-07,6.58252119479e-10,1.38198719135e-09,1.32772777148e-11,4.83469445034e-11,1.85407478259e-09,3.9484174863e-07,2.11981932807e-06,8.8188007244e-12,1.44097381596e-11,3.52660567415e-09,3.65393049151e-08,1.39122524612e-09,3.57908880311e-09,1.94339833115e-09,2.10896766717e-09,3.29758407247e-08,1.0444758658e-07,3.95224217936e-12,4.8265818009e-09,4.06509534514e-05
12,3.09625414197e-09,2.91417891276e-05,1.9652630634e-09,2.74874081829e-11,3.73043150148e-07,1.27747881717e-11,1.43761644722e-06,1.27992535681e-07,1.83413590094e-07,1.17320341815e-05,4.70804471797e-11,8.97332429304e-05,6.30249772371e-08,0.000319076934829,5.18784963788e-06,4.05143613103e-10,3.68598620071e-07,1.03666388895e-06,4.21849583043e-10,0.993375003338,3.41520123293e-09,1.64430604549e-11,3.13651361827e-12,1.36098242051e-11,3.58063301231e-11,9.22456555585e-12,5.84954323131e-05,8.76879957534e-11,6.10185346694e-10,3.01937053138e-09,5.06416464319e-10,8.47816317151e-10,6.52885745467e-08,5.26809129653e-09,7.45980888173e-10,7.37886474145e-10,4.04351752081e-09,9.17829479086e-10,4.14719902864e-09,5.91987747711e-09,2.58740335823e-08,7.53520089347e-06,5.86433834826e-09,2.17506040956e-10,4.69279060056e-09,4.02875244276e-09,8.00573322912e-12,0.00597073184326,4.0290965444e-06,2.01121186372e-09,1.48232072661e-06,3.83855253139e-10,6.19311893435e-11,4.9182462547e-09,9.54623313731e-09,6.3018779084e-10,4.85011808493e-10,2.41684112723e-08,7.95941357268e-09,2.10588324556e-09,4.91577303308e-08,6.17411885506e-11,6.63830934666e-10,2.04451797714e-08,2.00632566116e-10,2.52581333626e-08,6.49916898077e-10,2.46666020942e-10,1.08398690024e-09,6.97133062388e-09,5.78142866914e-10,2.76204144001e-08,2.09801516438e-11,5.46570566584e-09,2.08037491234e-07,1.35299893511e-09,9.81216996543e-10,1.68229767894e-08,1.81477915362e-07,9.81530146049e-09,6.53516826787e-06,5.23814280839e-09,1.13573555893e-07,2.81485288411e-08,4.88757585515e-08,6.50839911032e-06,2.96575253245e-09,5.12687314824e-09,3.76438713534e-10,2.96693070112e-08,1.23609806835e-08,1.37447342397e-09,2.98548304134e-11,4.25312496333e-09,5.50714496228e-09,4.50578227174e-06,3.53168561062e-09,3.08425351925e-09,0.000105836523289
13,8.77733885574e-10,9.48675733525e-08,1.90200719757e-12,5.32185441549e-11,2.18017870424e-09,4.29673267452e-12,5.22875687192e-10,1.06600539507e-09,1.85079152288e-05,1.60388077819e-10,9.01771812778e-09,0.000146664766362,2.52919039667e-06,1.34515239552e-05,0.999609172344,1.37599220906e-09,6.52424205327e-07,2.11653855331e-07,1.43322820279e-09,1.46213254837e-08,3.33151973564e-07,6.12534372182e-12,1.60054372533e-10,3.33610894986e-12,4.44753435469e-11,9.89149474134e-12,4.80699725358e-07,1.84786616564e-10,2.7222908372e-09,1.98979157803e-12,6.67682020783e-11,5.6824534661e-11,6.1549210173e-10,4.72419436903e-10,7.31120927688e-11,1.30730093417e-09,1.49691301021e-10,7.33630777655e-12,3.52674833781e-11,4.10216131896e-12,1.40733646958e-09,1.61868634052e-08,3.15693671205e-09,6.9548753423e-09,7.64226182337e-11,1.81171744273e-10,1.24688981362e-10,6.05466325965e-08,9.86050963547e-06,2.65744944272e-07,5.20703147266e-10,2.30055662021e-11,9.70848788029e-08,4.28191482271e-09,2.39103719463e-11,1.22790224169e-11,4.89107504498e-11,1.08050140016e-11,3.36575078919e-09,6.03292155815e-12,1.30317520664e-10,3.79688338062e-12,2.15978943063e-10,1.42426941352e-07,1.13313047834e-09,7.00772816511e-12,1.23150073472e-10,1.9981531707e-10,6.39326994123e-11,2.41528574918e-10,4.7562631611e-10,5.1093995701e-09,1.07704062682e-11,1.25366061976e-09,1.30756272476e-09,2.52378690863e-11,7.45578674754e-13,4.31385038802e-10,2.98648716868e-10,3.8607996089e-07,6.25143270483e-09,1.2732961352e-09,5.6459942277e-10,2.61715413785e-08,6.61690813253e-10,8.24969606517e-11,1.81254358744e-10,2.29944991e-12,8.13713540992e-10,3.50397648674e-08,6.57377841398e-12,4.51784899269e-07,1.85833637367e-09,5.7010618093e-07,1.7887185777e-07,0.000195802436792,2.81493606202e-10,6.20949180963e-10,7.36640970445e-09
16,1.12159818855e-06,5.83960186873e-08,9.60694563901e-08,0.998884022236,2.07807859809e-09,6.32360919184e-09,1.26529437239e-06,7.24173787603e-06,7.88202669355e-07,1.19281451383e-09,1.9313932853e-07,9.65836655098e-09,2.83517783828e-06,3.0277242935e-09,2.50078215913e-07,1.79063093242e-08,3.08573944174e-09,1.03857883005e-06,1.15653513433e-08,1.05668250399e-05,5.68679695334e-07,1.1848799204e-06,3.44559225596e-08,3.65173558059e-09,1.1888306517e-07,1.50643373331e-08,3.80489859708e-06,6.00327965117e-08,5.53660157721e-08,8.1385363726e-11,2.53003236139e-06,2.14325908132e-07,3.65893100707e-07,1.11534106395e-08,1.13762837373e-07,6.63963959369e-08,1.25000060507e-05,3.91464823224e-07,5.0944186647e-09,4.43866419175e-08,4.79542677567e-07,7.79584752308e-07,1.36146681484e-07,5.58541651117e-05,2.54133533417e-06,2.60953929683e-05,1.75273044078e-07,5.55929657864e-09,4.51748727315e-09,5.85969051059e-10,6.04618207944e-06,3.37969453312e-07,0.000214447267354,1.07607206701e-06,9.92415039036e-10,9.40375684877e-07,2.34086705575e-09,2.42171552145e-07,3.68977794096e-07,2.13347952638e-08,1.31773540488e-05,1.38766931279e-09,1.62938007975e-07,8.94901841519e-09,7.62984897484e-10,1.7613415082e-07,2.76288734113e-08,1.54926084406e-07,3.57912824711e-07,3.63646745427e-06,3.57695928432e-10,7.27029902947e-09,5.2649296034e-10,1.46009824675e-06,1.05790842753e-09,1.24965595205e-07,2.57735706555e-07,2.89096306005e-07,3.38943562106e-09,3.13559644383e-06,8.24380952391e-10,4.61333775092e-06,4.56504203328e-08,5.81845824854e-07,2.51312464172e-08,7.30461442799e-06,0.00054666842334,1.47378997895e-08,7.6564105056e-10,3.11690712351e-07,1.31850711682e-07,5.99963073e-07,1.113113467e-05,5.89976636434e-08,0.000162109354278,1.41349918437e-08,2.25645953833e-06,2.59306176531e-07,1.18742114807e-07
19,2.17628652877e-07,5.52102683571e-08,2.59125876312e-08,0.999926924706,8.50799652952e-10,5.96897908878e-09,1.79818243851e-07,3.18697424007e-08,1.75731841523e-07,3.5257183284e-10,3.46832592868e-07,6.79362843758e-10,6.58098224449e-06,8.5279595885e-11,1.7999726154e-08,6.52155662806e-09,1.84405979375e-09,1.8140037028e-08,7.13534953345e-10,9.27550047436e-07,5.71326040699e-07,4.25096942536e-07,2.85657142385e-09,9.81162617819e-09,1.64390616675e-08,4.00828668035e-08,1.02634352572e-07,4.41662972861e-09,2.55544230221e-09,3.26318916333e-10,2.01677679001e-07,1.09921103331e-07,2.30955720326e-07,6.38092745309e-10,5.53295009809e-08,2.24635221535e-09,1.27625139612e-06,5.28545172074e-08,2.02756855749e-09,2.42135314465e-07,1.73600298581e-08,8.45436360919e-08,6.67335919857e-09,4.41332474566e-07,3.55218858772e-08,5.1635215641e-06,1.4110676716e-07,4.18728524076e-10,1.56245927307e-09,6.53277917873e-11,6.3313082137e-06,1.01631962934e-06,1.15239190563e-05,5.16434170095e-07,9.02512398149e-10,1.35899529141e-06,1.54406754049e-09,4.8686521481e-10,4.75110581988e-08,5.02735275631e-09,7.01947692505e-06,1.14706785737e-10,6.40073904989e-09,1.76477929492e-10,4.58959092953e-09,1.71885446321e-07,2.55606508182e-10,9.15396980439e-10,4.07887199572e-07,3.16995880212e-07,4.26274154863e-11,1.03286823538e-09,1.17937853927e-10,1.26095791586e-08,4.65560212604e-09,3.67839305682e-08,5.84030495077e-08,2.24956053785e-08,1.91843696484e-09,1.39711437441e-06,1.77343431607e-10,2.91057176582e-07,4.04824529454e-09,3.23340394459e-08,1.08065336235e-07,2.73348973678e-06,1.23123015783e-06,2.06215222676e-08,2.30907463289e-11,1.16584848442e-08,3.32489484833e-08,3.34283470238e-07,6.73227020798e-07,5.89778403892e-09,1.78241007234e-05,4.28241608841e-10,1.48446440562e-06,1.36706304943e-07,4.2407614842e-07
23,3.72528369263e-10,1.72484284633e-08,3.12121898105e-07,1.49867446453e-07,1.63405172771e-06,8.24925373308e-05,5.19588911629e-06,1.29725208353e-07,1.42355256472e-08,6.73446507449e-08,9.77730163498e-09,1.641179459e-08,1.51256773773e-09,1.10226245909e-08,1.22131105229e-08,0.00017697858857,6.04201688681e-10,1.00542763004e-09,9.26676818835e-07,1.37354277285e-07,3.01329151853e-07,3.19654844816e-08,2.33474952438e-06,9.76478276016e-08,5.53702693651e-06,3.76842905325e-07,1.08545696875e-08,7.48962503128e-10,0.987926244736,0.0113975601271,0.000270963355433,2.74857608895e-10,5.53137136095e-09,9.12837805345e-08,1.47383929061e-07,3.95979259338e-06,4.48381797469e-07,1.35350910568e-06,1.16626267754e-06,2.77278218164e-06,7.26127780126e-08,3.50496229262e-11,4.16050261265e-06,8.17234706574e-08,4.01261157634e-09,2.23321539039e-08,5.06486352858e-10,6.37632808775e-07,3.10799030956e-08,5.41444364899e-08,4.78603965348e-07,4.39486269599e-09,2.35437553897e-07,5.12596727731e-07,6.47082956107e-08,3.27453308273e-05,5.88326247453e-06,6.85204497586e-07,1.78397741024e-10,2.97312841013e-09,3.37349241875e-08,1.16622809188e-08,1.4023032513e-08,1.05123456606e-08,1.23740084845e-08,3.36576704285e-08,1.47227012803e-07,1.83936023745e-07,1.8843026055e-06,1.04798109533e-05,3.78919394279e-05,1.34483821057e-06,6.1446911559e-08,5.46677767943e-07,5.5121848419e-08,4.29474872332e-10,4.73478287688e-08,3.15807859863e-08,1.05668842565e-08,1.66596112194e-06,9.87965177046e-06,8.49050820761e-08,3.5221709993e-08,7.39718841736e-10,1.39055543968e-07,7.7815258237e-08,7.33024236865e-08,1.99522489197e-07,1.95231582012e-08,1.3814950961e-08,1.65316123457e-07,1.49209800071e-08,1.59358872764e-08,6.16197866066e-08,2.43607439776e-10,3.96832039451e-10,2.16557189958e-08,1.64432123473e-09,7.80613663665e-06
24,1.49830352569e-08,1.23764856141e-08,2.78744636262e-08,8.09464301144e-11,5.04106045796e-09,4.64788428189e-07,5.04826713765e-09,1.28255237541e-08,1.47717557297e-07,5.64830777705e-08,7.45523309753e-10,1.03248931627e-09,1.89140109824e-12,4.97871799343e-10,1.33620350895e-10,5.10741171578e-10,9.79900505627e-07,5.6934706949e-10,3.9745071817e-11,1.85306617273e-10,1.80473525013e-09,4.40583791672e-10,8.20282481263e-13,1.89249371729e-09,1.01800217561e-11,3.65106139766e-11,6.64489085977e-09,1.58173765752e-10,7.00801265976e-12,3.51961837453e-08,4.50312833897e-12,2.93360881187e-06,1.0428315278e-07,1.91020674833e-08,1.29723263242e-08,9.12803235775e-11,4.49894371757e-10,3.93698655898e-07,8.64758717967e-08,1.57144526725e-07,2.27356373728e-08,1.17623544238e-09,2.24053975373e-09,5.50795867249e-12,7.14528969326e-09,7.35031875365e-08,4.44110269393e-11,4.93513944988e-11,1.75276772263e-11,1.42833997074e-07,1.03245390015e-09,4.65697127083e-07,9.24431104582e-13,7.1928504819e-12,2.43198208238e-08,1.93976994467e-08,6.82746248426e-10,2.80273859676e-10,4.4694301593e-09,2.14797864828e-07,8.12338418754e-10,7.66936722463e-11,5.1739034064e-12,1.31187935515e-10,2.86056192067e-08,1.23107224415e-09,9.80897585379e-10,2.80377977779e-11,1.81596870874e-08,5.14711153698e-08,4.42199388218e-10,3.09054101755e-11,8.22518231303e-09,6.95579282107e-13,1.12790850437e-07,2.82316161559e-08,6.96916357956e-10,6.71728406232e-09,1.21907604012e-07,4.43455328014e-10,8.58999260611e-10,8.74562089415e-11,5.34671817931e-09,5.57426504955e-09,0.999991059303,2.1446470988e-10,1.19585157748e-11,6.08176675687e-10,1.08975620194e-10,1.99815440283e-06,1.50571199953e-08,1.28956090598e-11,5.78635195314e-10,6.54198986649e-11,6.68939836856e-09,7.80505171605e-09,1.427765111e-11,2.66657593784e-08,3.96429555849e-10
28,1.4814829683e-06,5.617064744e-06,6.48445697138e-09,1.12117163553e-06,4.02321290949e-07,1.56609014645e-09,5.87406816521e-07,5.03000956087e-05,0.9997189641,3.66050190159e-09,4.2260169721e-05,4.66511073682e-06,7.5341995398e-07,2.75991311582e-07,4.13824382122e-05,6.10477002283e-10,6.92205367159e-06,5.29292663032e-08,5.50822276679e-09,7.48511297388e-07,5.26547069057e-07,5.06012509671e-10,1.13396505727e-11,3.77351899727e-11,4.49386083901e-10,4.51983811489e-10,6.31727203881e-08,1.57429527747e-10,9.07639408076e-10,5.30430088741e-10,3.04043878963e-09,2.03363441642e-08,1.89897988889e-07,4.08777935945e-08,3.8264977853e-09,4.99984537328e-07,1.12498488303e-09,1.12211984149e-09,1.10155780331e-10,4.04094327444e-11,3.2158609109e-09,8.70554757171e-08,1.61947557586e-08,5.97188254403e-09,2.06795292002e-07,1.04020799085e-07,2.47386520158e-08,1.21029897215e-08,6.80725378288e-08,2.84447708054e-07,1.48558643165e-09,8.79082406868e-09,2.9373994348e-09,4.67275604876e-08,3.9842440458e-09,9.48292822045e-09,3.13950265785e-09,1.45826406506e-10,3.09195087311e-08,2.5637953982e-09,1.83964115053e-08,3.25974247595e-10,1.2294720797e-10,9.89614434843e-09,8.82388295764e-09,8.16760969968e-09,5.69917890658e-10,5.17038023506e-10,6.12453376903e-08,5.84518566882e-08,1.28981392233e-09,4.75918611187e-08,9.94621052186e-10,6.78954137356e-08,2.65465214255e-08,5.77097480914e-08,3.12325554308e-10,1.64262003999e-09,5.30959027856e-08,4.20391828015e-08,2.65669730659e-09,3.58565905856e-08,6.86657415372e-08,1.10674022835e-07,6.58642511553e-06,3.39039951669e-09,4.65603022803e-08,1.30644358179e-11,5.4828119822e-10,8.53074561746e-06,2.00361096603e-08,1.83837851608e-08,5.49542050976e-07,6.43382918497e-07,0.000105518469354,4.23304520325e-08,1.18196591403e-10,1.52073775794e-09,1.79887010177e-07
